ResponseID,age,city,cityother,enroll,white,black,latine,asian,multi,me,other,pna,malebin,femalebin,naf,yearsindc,university,universityother,drive,alcohol,cannabis5,cannabis9,sim,rx,text,speed,drowsy,seatbelt,rider_alcohol,rider_cannabis5,rider_cannabis9,rider_sim,rider_rx,rider_text,rider_speed,rider_drowsy,rider_seatbelt,DD,rideshare,walk,stayover,publictransit,bikes,other_altopt,dangeralc,dangercann5,dangercann9,dangersim,dangerrx,dangertext,dangerspeed,dangerdrowsy,dangerseatbelt,legalalc,legalcann5,legalcann9,legalsim,legalrx,legaltext,legalspeed,legaldrowsy,legalseatbelt,normsalc,normscann5,normscann9,normssim,normsrx,normstext,normsspeed,normsdrowsy,normsbelt,drivertrain,drivertrain_other,driveincome,negativedrive,negativedrive_text,metrobus,nometrobus_text,metrorail,nometrorail_text,negativemetro,negativemetro_text,ridingactivity,ridingact_text,skate,skatehelmet,electricskate,skatedestination,funskate,cityskate,skatepark,sundownskate,friendskate,skatealc,skatecann5,skatecann9,skatesim,bike,bikehelmet,electricbike,bikedestination,funbike,citybike,bikepark,sundownbike,friendbike,bikealc,bikecann5,bikecann9,bikesim,scoot,scoothelmet,escoot,scootdestination,funscoot,cityscoot,scootpark,sundownscoot,friendscoot,scootalc,scootcann5,scootcann9,scootsim,negativeriding,negativeriding_text,metrobus_cost,metrobus_safety,metrobus_hours,metrobus_confusing,metrobus_inconvenient,metrobus_faster,metrobus_station,metrobus_other,metrobus_none,metrobus_pna,metrorail_cost,metrorail_safety,metrorail_hours,metrorail_confusing,metrorail_inconvenient,metrorail_faster,metrorail_station,metrorail_other,metrorail_none,metrorail_pna
R_3ReHEjXIuJpvfHX,22,District of Columbia,,Yes,0,0,0,1,0,0,0,0,0,1,0,1–3 years,Howard University,,Yes,Never,Twice,Never,Never,Twice,Never,Never,More than twice,Once,Never,Once,Never,Never,Never,Never,Never,Twice,Never,Never,More than twice,Once,More than twice,Twice,Never,Never,Very dangerous,Unsure,Very dangerous,Very dangerous,Unsure,Very dangerous,Very dangerous,Unsure,Very dangerous,Very likely,Somewhat unlikely,Very likely,Very likely,Very likely,Somewhat unlikely,Very likely,Somewhat unlikely,Very likely,More than twice,More than twice,More than twice,More than twice,Twice,More than twice,More than twice,More than twice,More than twice,In person,,"Yes, for delivery (e.g., Amazon Flex, DoorDash, Instacart)",Yes,There was a car crash in a routine and fire around so I had to leave out the exit and take another route ,Yes,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
R_2Vt0h4UBzfR94lS,20,Virginia,,Yes,0,0,1,0,0,0,0,0,0,1,0,More than 5 years,George Mason University,,Yes,Once,Never,Never,Never,Once,Twice,Never,More than twice,Never,Never,Never,Never,Never,Never,More than twice,More than twice,More than twice,More than twice,More than twice,Never,Once,Never,Once,Never,Never,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Somewhat likely,Unsure,Unsure,Somewhat likely,Somewhat likely,Very likely,Very likely,Somewhat likely,Somewhat likely,More than twice,Twice,Twice,Twice,Twice,More than twice,More than twice,More than twice,More than twice,I didn't complete a driver training course prior to receiving my driver's license,,No,No,,No,,No,,No,,Skateboarding/Longboarding,,4,A Few,None,None,A Few,None,None,None,A Few,Never,Never,Never,Never,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
R_6llMBPe4gjP73kl,18,District of Columbia,,No,0,1,0,0,0,0,0,0,0,1,0,More than 5 years,,,No,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Unsure,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very safe,Very dangerous,Very dangerous,Very dangerous,Very likely,Somewhat likely,Very likely,Very likely,Very likely,Somewhat likely,Very likely,Very unlikely,Very likely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Prefer not to answer,,,,,Yes,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
R_WiHDG3FDTkukjhD,20,Virginia,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,George Washington University,,Yes,Never,Never,Never,Never,Never,More than twice,Never,Twice,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,More than twice,Twice,More than twice,Twice,Twice,Twice,Never,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very likely,Very likely,Very likely,Somewhat likely,Very likely,Very likely,Very likely,Very likely,Somewhat likely,Twice,Once,Once,Once,Twice,Once,Once,Once,Twice,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,Yes,,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_1GvKTeKoL0vC3Al,23,District of Columbia,,Yes,1,0,0,0,0,0,0,0,0,1,0,More than 5 years,University of the District of Columbia,,Yes,Never,Never,Never,Never,Never,Twice,Never,Never,Once,Never,Never,Never,Never,Never,More than twice,Twice,Never,More than twice,Never,Twice,More than twice,Never,Twice,Twice,Never,Very dangerous,Very dangerous,Unsure,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Unsure,Very dangerous,Very likely,Unsure,Unsure,Somewhat likely,Unsure,Very likely,Somewhat likely,Very likely,Very likely,Twice,Never,Never,Never,Never,More than twice,Once,Never,More than twice,In person,,No,No,,No,,Yes,,No,,Bicycling (street and BMX),,,,,,,,,,,,,,,5,Half,None,A Few,A Few,A Few,None,A Few,None,Never,Never,Never,Never,,,,,,,,,,,,,,No,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R_2TX0y2dKTuj4mzA,20,Virginia,,No,0,1,0,0,0,0,0,0,0,1,0,More than 5 years,,,No,,,,,,,,,,Never,Once,Never,Never,Never,Never,Once,Once,Never,Once,Twice,Never,More than twice,Never,Never,Never,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Unsure,Very dangerous,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Unsure,Somewhat likely,Unsure,Very likely,Once,Never,Never,Never,Never,Never,Never,Never,Never,I didn't complete a driver training course prior to receiving my driver's license,,,,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R_2dgzvYbQVqOUR5N,22,District of Columbia,,No,0,0,0,0,0,1,0,0,0,1,0,More than 5 years,,,Yes,Twice,Twice,Once,Twice,Twice,Twice,Twice,Once,Once,Twice,Once,Once,Twice,Twice,Once,Once,Once,Once,Once,Twice,Twice,Once,Once,Twice,Never,Somewhat safe,Somewhat dangerous,Somewhat dangerous,Unsure,Somewhat safe,Somewhat safe,Unsure,Somewhat dangerous,Somewhat dangerous,Somewhat likely,Somewhat likely,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Twice,Once,Twice,Twice,Twice,Once,Twice,Once,Twice,In person,,"Yes, other type of paid driving",No,,No,,No,,No,,"Bicycling (street and BMX),Scootering,Surfing,Horseback riding,Powered dirt bike",,,,,,,,,,,,,,,1,Half,Half,A Few,Half,All,All,Half,A Few,Twice,Twice,Once,More than twice,1,Half,Half,Half,Half,A Few,Half,All,Half,Twice,Twice,Twice,Twice,No,,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
R_3kvqn0z2sS5Gs7f,23,Virginia,,No,1,0,0,0,0,0,0,0,1,0,0,1–3 years,,,Yes,Once,Twice,Twice,Once,More than twice,More than twice,Twice,More than twice,Twice,Twice,More than twice,More than twice,Once,Twice,Twice,More than twice,Twice,More than twice,Twice,Once,More than twice,Twice,Twice,Once,Never,Somewhat safe,Very safe,Very safe,Unsure,Somewhat safe,Somewhat safe,Very safe,Very safe,Unsure,Very likely,Very likely,Somewhat likely,Very likely,Somewhat likely,Very likely,Very likely,Unsure,Very likely,Twice,More than twice,More than twice,Once,Once,More than twice,Twice,More than twice,Twice,In person,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,No,,No,,No,,"Bicycling (street and BMX),Powered dirt bike",,,,,,,,,,,,,,,8,Half,All,All,Half,All,A Few,Half,All,Twice,More than twice,More than twice,Once,,,,,,,,,,,,,,No,,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
R_31uyCxt4XF4wdmP,20,Virginia,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,George Washington University,,Yes,Never,Never,Never,Never,Never,Never,Never,Once,Never,Never,Never,Never,Never,Never,Never,Never,Once,Once,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Unsure,Somewhat dangerous,Somewhat dangerous,Somewhat likely,Unsure,Somewhat likely,Unsure,Somewhat likely,Very likely,Somewhat likely,Somewhat likely,Very likely,Never,Never,Never,Never,Never,Never,Never,Never,Once,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,Yes,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_3j0xlaIbmBsVMv1,20,Virginia,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,George Washington University,,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,Never,Never,Never,Never,Never,Never,Never,Once,Never,Never,Never,Never,Never,Never,Never,Very dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_9KtqsEIx5AEhvIR,20,Virginia,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,George Washington University,,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat unlikely,Very unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Very unlikely,Once,Never,Never,Never,Never,Never,Never,Never,Once,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
R_1GVvamg9v9yyVPA,20,Virginia,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,George Washington University,,No,,,,,,,,,,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Very unlikely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Online,,,,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
R_bau5UtSyEuClTUJ,20,Virginia,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,George Washington University,,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Somewhat dangerous,Somewhat dangerous,Very dangerous,Somewhat unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
R_2xY65x15rGGqdQn,20,Virginia,,Yes,1,0,0,0,0,0,0,0,1,0,0,More than 5 years,George Washington University,,Yes,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Never,Somewhat dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Very dangerous,Somewhat dangerous,Very dangerous,Very dangerous,Somewhat unlikely,Very unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Very unlikely,Very unlikely,Somewhat unlikely,Somewhat unlikely,Never,Never,Never,Never,Never,Never,Never,Never,Never,Online,,"Yes, for rideshare (e.g., Uber, Lyft)",No,,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0
R_2tsVzDNhRmApMbb,20,Virginia,,Yes,0,1,0,0,0,0,0,0,0,1,0,More than 5 years,Other,Bryant and stratton online,Yes,Once,More than twice,Never,Once,Never,More than twice,Prefer not to answer,More than twice,Once,Once,Once,Once,Once,Once,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,Never,Unsure,Somewhat safe,Somewhat safe,Somewhat safe,Unsure,Somewhat safe,Unsure,Somewhat dangerous,Unsure,Unsure,Somewhat unlikely,Somewhat unlikely,Somewhat likely,Unsure,Somewhat unlikely,Very likely,Somewhat likely,Very likely,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,In person,,No,Yes,People not paying attention ,No,,Yes,,No,,Scootering,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,None,All,All,All,All,None,None,All,Once,Once,Once,Once,No,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
R_3phTDwgcE745mWw,20,Virginia,,Yes,0,1,0,0,0,0,0,0,0,1,0,More than 5 years,Other,Bryant and stratton college online,Yes,Once,More than twice,More than twice,Once,Never,More than twice,More than twice,More than twice,Once,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,Prefer not to answer,Somewhat dangerous,Unsure,Unsure,Unsure,Somewhat dangerous,Unsure,Unsure,Somewhat dangerous,Unsure,Unsure,Somewhat unlikely,Somewhat unlikely,Unsure,Somewhat unlikely,Somewhat likely,Very likely,Unsure,Somewhat likely,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,More than twice,In person,,No,Yes,People dont pay attention or kno basic road safety ,No,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
